INDEX,REPORT_YEAR,DIVISION,NEIGHBOURHOOD,CATEGORY,SUBTYPE,COUNT,COUNT_CLEARED,ObjectId
7834,2019,D53,Thorncliffe Park (55),Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,9,8,7634
7835,2014,D52,Bay-Cloverhill (169),Crimes Against the Person,Attempt Murder,1,1,7635
7601,2023,D23,Elms-Old Rexdale (5),Crimes Against Property,Fraud,50,1,7636
7751,2023,D22,Eringate-Centennial-West Deane (11),Crimes Against Property,Auto Theft,120,3,7637
7836,2016,NSA,NSA,Crimes Against the Person,Robbery-Financial,17,17,7638
7837,2022,D41,Dorset Park (126),Crimes Against the Person,Robbery-Other,22,11,7639
7838,2020,D12,Beechborough-Greenbrook (112),Crimes Against the Person,Robbery-Other,3,1,7640
7839,2020,D43,Guildwood (140),Crimes Against Property,Theft Under $5000,47,5,7641
7840,2016,D14,Wellington Place (164),Controlled Drugs and Substances Act,Other,50,46,7642
7841,2023,D13,Englemount-Lawrence (32),Other Criminal Code Violations,Other,10,9,7643
